"11/18/2010 23",23.00,30.03,32.84,8962,FALSE,0,0,,,,
"11/18/2010 24",24.00,29.6,32.86,8559,TRUE,27.75,-888,,,,
"11/19/2010 01",1.00,27.33,32.87,8349,TRUE,55.5,-819.9,,,,
"11/19/2010 02",2.00,29.46,32.88,8215,TRUE,83.25,-883.8,,,,
"11/19/2010 03",3.00,26.01,32.89,8169,TRUE,111,-780.3,,,,
"11/19/2010 04",4.00,24.53,32.9,8165,TRUE,138.75,-735.9,,,,
"11/19/2010 05",5.00,24.44,32.9,8183,TRUE,166.5,-733.2,,,,
"11/19/2010 06",6.00,25,32.88,8372,TRUE,194.25,-750,,,,
"11/19/2010 07",7.00,28.5,32.85,8766,TRUE,210,-855,,,,
"11/19/2010 08",8.00,32.53,32.83,9292,TRUE,210,0,,,,
"11/19/2010 09",9.00,30.89,32.82,9367,TRUE,210,0,,,,
"11/19/2010 10",10.00,29.49,32.82,9415,TRUE,210,0,,,,
"11/19/2010 11",11.00,28.85,32.82,9437,TRUE,210,0,,,,
"11/19/2010 12",12.00,41.37,32.84,9419,TRUE,210,0,,,,
"11/19/2010 13",13.00,40.11,32.85,9320,TRUE,210,0,,,,
"11/19/2010 14",14.00,37.67,32.86,9336,TRUE,210,0,,,,
"11/19/2010 15",15.00,32.87,32.86,9290,TRUE,210,0,,,,
"11/19/2010 16",16.00,32.84,32.86,9330,TRUE,210,0,,,,
"11/19/2010 17",17.00,111.56,32.97,9593,FALSE,180,3346.8,,,,
"11/19/2010 18",18.00,407.63,33.48,9744,FALSE,150,12228.9,,,,
"11/19/2010 19",19.00,218.91,33.74,9585,FALSE,120,6567.3,,,,
"11/19/2010 20",20.00,79.39,33.8,9496,FALSE,90,2381.7,,,,
"11/19/2010 21",21.00,32.94,33.8,9408,FALSE,60,988.2,,,,
"11/19/2010 22",22.00,31.55,33.81,9269,FALSE,30,946.5,,,,
"11/19/2010 23",23.00,31.19,33.82,8998,FALSE,0,0,,,,
"11/19/2010 24",24.00,32.78,33.84,8680,TRUE,27.75,-983.4,,,,
"11/20/2010 01",1.00,33.05,33.86,8408,TRUE,55.5,-991.5,,,,
"11/20/2010 02",2.00,32.81,33.88,8199,TRUE,83.25,-984.3,,,,
"11/20/2010 03",3.00,32.42,33.9,8192,TRUE,111,-972.6,,,,
"11/20/2010 04",4.00,28.61,33.91,8135,TRUE,138.75,-858.3,,,,
"11/20/2010 05",5.00,26.88,33.92,8144,TRUE,166.5,-806.4,,,,
"11/20/2010 06",6.00,25.83,33.92,8238,TRUE,194.25,-774.9,,,,
